,name,pid,duration
0,kworker/3:2,1087,0.013324999999955622
1,kworker/0:1,7,0.033395999999928705
2,rcu_preempt,11,0.14909500000008435
3,kworker/u16:10,328,0.22677800000028014
4,rcuop/6,64,0.05061399999997107
5,rcuop/7,72,0.029264999999981
6,rcuop/2,32,0.05147400000001312
7,rcuos/6,65,0.019668999999989722
8,kworker/7:1,81,0.008498999999986268
9,rcu_sched,12,0.11096900000019616
10,rcuos/0,15,0.030283999999912936
11,rcuos/2,33,0.025518000000001706
12,kworker/u17:2,610,0.10215100000033672
13,kworker/u17:12,804,0.0836179999998734
14,kworker/u16:2,263,0.3394100000002993
15,rcuop/0,14,0.057957999999956655
16,rcuos/7,73,0.004160000000027253
17,rcuop/1,24,0.030805999999959255
18,irq/101-90b6300,4941,0.09043300000008614
19,irq/102-90cd000,4945,0.07077799999995449
20,rcuop/3,40,0.025450999999964807
21,rcuos/3,41,0.006838000000012556
22,migration/1,20,0.006338999999986328
23,msm_watchdog,90,0.0004909999999966885
24,kworker/1:1H,347,0.0035219999999931417
25,kworker/u16:1,82,0.3161050000001282
26,ksoftirqd/2,29,0.0010949999999958493
27,rcuos/1,25,0.008213000000054649
28,klogd,5639,0.01825599999999028
29,xkit_10,5642,0.016304000000047836
30,xkit_10,5643,0.010550999999907162
31,qrtr_rx,875,0.022357999999975675
32,sensors@2.0-ser,914,0.10025699999995652
33,system_server,1514,9.241141999999993
34,ksoftirqd/1,21,0.016920000000038016
35,kworker/1:1,83,0.01990900000003748
36,migration/3,36,0.0034029999999845018
37,servicemanager,546,0.2894050000002757
38,ext4_discard-25,580,0.0007749999999973056
39,ext4_discard-25,578,0.0007279999999738607
40,ext4_discard-25,513,0.0006529999999997926
41,ext4_discard-25,515,0.0006199999999942918
42,DefaultDispatch,3090,0.007211000000008738
43,ext4_discard-25,523,0.0011079999999950019
44,ext4_discard-25,517,0.0007309999999662864
45,ext4_discard-8:,588,0.0009099999999797603
46,ext4_discard-25,519,0.000961000000021528
47,kworker/6:1,80,0.009223999999946386
48,ext4_discard-25,521,0.0008230000000111204
49,logd.writer,545,1.8445140000000926
50,logcat,5671,0.5435699999998711
51,kworker/2:1,84,0.018283999999972878
52,migration/2,28,0.003341000000013139
53,kworker/7:1H,353,0.0029389999999978045
54,.entitlement.o2,2902,0.018105000000026905
55,ksoftirqd/0,10,0.004680999999969515
56,HeapTaskDaemon,3519,0.04080199999999934
57,sist.multimedia,3993,0.3235480000000095
58,ext4_discard-8:,585,0.004111999999999227
59,kworker/0:1H,346,0.001730999999985272
60,kworker/2:1H,348,0.001228999999991487
61,st-fitting,4783,0.03336500000009934
62,oiface@1.0-serv,937,0.03967099999994517
63,surfaceflinger,1036,1.5597509999997818
64,allocator-servi,950,0.018580000000017804
65,ion-pool-cached,119,0.0007480000000086306
66,system,120,0.008522999999996728
67,kgsl_worker_thr,277,0.07721799999994872
68,kgsl_signal_fen,278,0.01922500000001648
69,kworker/u16:4,267,0.15105000000001567
70,migration/6,60,0.0017530000000114399
71,f2fs_discard-8:,626,2.999999999886427e-05
72,autochmod.sh,5197,0.05003500000000116
73,migration/0,17,0.004294000000022891
74,i.poweroffalarm,4008,0.047659000000003005
75,jbd2/sda2-8,583,0.0004649999999983834
76,kworker/6:1H,352,0.00016800000001992998
77,jbd2/sdf7-8,595,0.0024039999999985184
78,gle.android.gms,4011,0.9680290000000049
79,com.heytap.mcs,4762,0.32536100000000445
80,irq/298-chg-sta,413,0.0001239999999995689
81,kworker/3:3,1094,0.0030059999999920706
82,HwBinder:918_1,918,0.005552999999999031
83,thermal-engine,1370,0.0009239999999941517
84,HWC_UeventThrea,953,1.0088339999997764
85,health@2.0-serv,909,0.01878399999998237
86,Binder:781_3,781,0.030944000000015848
87,Binder:564_2,564,0.019393000000022198
88,ueventd,530,0.029152999999993767
89,gnss@2.0-servic,908,0.0008070000000053312
90,HwBinder:1335_1,1335,0.0012189999999918655
